timestamp,elapsed,connected,messagesSent,messagesReceived,rateLimited,errors,reconnects,refreshes,latencyP50,latencyP95,latencyP99
1774212326124,5,4,0,0,0,0,0,0,0,0,0
1774212331125,10,8,0,0,0,0,0,0,0,0,0
1774212336126,15,12,1,9,0,0,0,0,172,172,172
1774212341126,20,16,6,81,0,0,0,0,70,172,172
1774212346127,25,20,12,192,0,0,0,0,76,172,172
1774212351128,30,25,20,371,0,0,0,0,89,169,172
1774212356129,35,29,30,639,0,0,0,0,90,207,217
1774212361131,40,32,39,918,0,0,0,0,99,227,301
1774212366131,45,32,48,1077,0,5,0,0,101,2436,3858
1774212371132,50,31,61,1124,0,10,1,0,103,3544,6350
1774212376134,55,31,68,1174,0,16,2,0,104,6350,7560
1774212381136,60,31,73,1206,0,24,2,0,104,7057,15532
1774212386138,65,30,77,1238,0,36,3,0,119,7560,17648
1774212391139,70,30,81,1270,0,49,4,0,119,15532,18481
1774212396139,75,31,87,1303,0,55,4,0,127,17648,24741
1774212401139,80,30,92,1303,0,61,5,0,127,17648,24741
1774212406141,85,29,96,1335,0,72,6,0,127,18481,28195
1774212411142,90,31,98,1373,0,87,7,0,127,24741,37391
1774212416144,95,31,99,1436,0,100,7,0,135,31673,39086
1774212421146,100,31,107,1568,0,121,7,0,154,45791,47741
1774212426147,105,33,117,1809,0,147,7,0,172,47516,48705
1774212431148,110,33,124,1844,0,155,7,0,186,47611,48705
1774212436150,115,33,132,1879,0,167,7,0,186,47611,48705
1774212441151,120,33,137,1949,0,179,7,0,199,48330,54464
1774212446154,125,34,148,2416,0,235,7,0,2436,52737,54720
1774212451155,130,34,155,2776,1,272,7,0,7560,52737,54720
1774212456156,135,34,164,2920,3,289,7,0,17648,52737,54720
1774212461156,140,33,170,3061,3,313,8,0,24741,52294,54464
1774212466157,145,34,178,3279,3,340,8,0,26556,52294,54464
1774212471158,150,34,185,3351,3,354,8,0,26643,52294,54464
1774212476158,155,35,198,3681,3,387,8,0,27274,52294,54464
1774212481160,160,36,207,4015,5,438,8,0,29388,50124,54464
1774212486162,165,37,215,4208,5,459,8,0,30398,50124,54464
1774212491164,170,38,218,4447,5,492,8,0,30697,50124,54464
1774212496166,175,37,222,4565,5,513,9,0,31222,48705,54464
1774212501167,180,37,225,4705,5,534,10,0,31673,48705,54464
1774212506167,185,38,226,4803,5,571,10,0,32498,49409,54464
1774212511169,190,39,228,5005,5,607,10,0,32733,50345,54464
1774212516169,195,39,230,5046,5,626,10,0,32880,52294,54464
1774212521171,200,40,236,5046,5,636,10,0,32880,52294,54464
1774212526171,205,40,238,5046,5,640,10,0,32880,52294,54464
1774212531173,210,41,244,5218,5,680,10,0,33951,54271,63689
1774212536174,215,41,244,5390,5,717,10,0,34501,54720,65221
1774212541174,220,41,251,5562,5,749,10,0,35959,63369,68538
1774212546175,225,42,253,5776,5,804,11,0,37090,66199,69830
1774212551177,230,42,259,5864,5,823,11,0,37391,68521,70090
1774212556178,235,42,260,5996,5,851,11,0,37518,69281,77297
1774212561179,240,41,263,6084,5,884,12,0,37570,69729,80962
1774212566179,245,42,267,6390,5,920,12,0,37873,79658,85716
1774212571180,250,43,271,6923,5,980,12,0,38260,82627,85716
1774212576180,255,43,283,7058,5,1009,12,0,38586,82627,85716
1774212581180,260,45,290,7523,5,1054,12,0,39086,82381,85710
1774212586181,265,44,298,8077,5,1108,14,0,42378,82275,85710
1774212591182,270,48,306,8586,7,1180,14,0,43274,82275,85710
1774212596184,275,48,309,8686,7,1186,14,0,43503,82275,85710
1774212601186,280,48,313,8686,7,1203,14,0,43503,82275,85710
1774212606186,285,48,314,8686,7,1211,14,0,43503,82275,85710
1774212611187,290,49,322,8788,7,1225,14,0,43581,82275,85710
1774212616189,295,50,330,8996,7,1245,14,0,43994,82275,85710
1774212621189,300,50,337,9099,7,1254,15,0,44024,81921,85710
1774212626190,305,51,344,10106,7,1360,15,0,45791,81698,85710
1774212631190,310,51,359,11007,48,1415,15,0,45699,81698,85710
1774212636189,315,51,370,12279,112,1491,15,0,43938,80947,84088
1774212641191,320,51,379,13339,162,1561,15,0,42647,80821,84088
1774212646190,325,51,394,14134,194,1618,15,0,41107,80821,84088
1774212651191,330,51,404,15300,238,1699,15,0,38991,79658,84088
1774212656191,335,51,413,16242,301,1752,15,0,37997,79090,84088
1774212661192,340,51,419,16943,306,1813,15,0,37518,78163,84088
1774212666194,345,51,430,17685,325,1868,15,0,35959,78103,83155
1774212671195,350,51,432,17791,325,1892,15,0,35903,78103,83155
1774212676197,355,51,436,18003,325,1922,16,0,34530,78103,83155
1774212681198,360,51,445,18480,325,1962,16,0,32880,78103,83155
1774212686200,365,51,449,18692,325,1989,16,0,32508,77523,83155
1774212691201,370,51,455,19008,325,2021,16,0,31673,77523,83155
1774212696202,375,51,465,19540,325,2065,16,0,30570,77523,83155
1774212701202,380,51,467,19646,325,2085,16,0,30398,77401,83155
1774212706205,385,51,473,19964,325,2127,16,0,29326,77401,83155
1774212711207,390,51,476,20123,325,2145,16,0,28677,77401,83155
1774212716209,395,51,483,20494,325,2183,16,0,27274,77401,83155
1774212721209,400,51,488,20759,325,2208,16,0,26918,77297,83155
1774212726211,405,51,491,20918,325,2235,16,0,26643,77297,83155
1774212731212,410,51,498,21289,325,2283,16,0,26428,77297,83155
1774212736211,415,50,505,21657,325,2310,17,0,25632,77297,83155
1774212741213,420,51,511,21978,325,2331,17,0,24361,76786,83155
1774212746214,425,51,518,22349,325,2365,17,0,23394,76786,83155
1774212751216,430,51,524,22667,325,2405,17,0,22281,76786,83155
1774212756215,435,51,529,22879,325,2430,17,0,21547,76020,83091
1774212761218,440,51,536,23303,325,2460,17,0,20500,76020,83091
1774212766219,445,50,545,23776,325,2487,18,0,18481,76020,83091
1774212771222,450,51,553,24203,325,2531,18,0,17648,72375,83091
1774212776223,455,51,563,24733,326,2560,18,0,16003,72375,83091
1774212781224,460,51,567,24945,327,2579,18,0,15817,71199,83091
1774212786227,465,51,578,25528,327,2607,18,0,15338,71199,83091
1774212791227,470,51,591,26164,327,2635,18,0,14372,70359,83091
1774212796226,475,51,599,26641,327,2652,18,0,13579,70359,83091
1774212801228,480,51,607,27065,327,2673,18,0,12934,70155,83091
1774212806229,485,51,616,27542,328,2699,18,0,12247,70155,83091
1774212811230,490,51,630,28284,329,2737,18,0,10710,70090,83090
1774212816231,495,51,632,28337,329,2749,18,0,10321,70090,83090
1774212821234,500,51,636,28602,329,2774,18,0,10133,70090,83090
1774212826234,505,51,647,29185,329,2796,18,0,8843,69833,83090
1774212831233,510,51,647,29185,329,2808,18,0,8843,69833,83090
1774212836234,515,51,652,29450,329,2826,18,0,8302,69833,83090
1774212841235,520,51,662,29980,329,2856,18,0,7057,69833,83090
1774212846237,525,51,667,30245,331,2873,18,0,6350,69830,83090
1774212851238,530,51,678,30828,331,2898,18,0,5502,69830,83090
1774212856239,535,51,690,31411,332,2922,18,0,5260,69729,83090
1774212861241,540,51,700,31994,334,2948,18,0,3858,69729,83090
1774212866240,545,51,715,32683,341,2971,18,0,1977,69460,83090
1774212871241,550,51,724,33213,343,2991,18,0,1335,69460,83090
1774212876240,555,51,737,33955,349,3020,18,0,872,69281,82828
1774212881241,560,51,746,34432,356,3046,18,0,799,69281,82828
1774212886242,565,51,752,34750,356,3064,18,0,747,68963,82828
1774212891242,570,51,760,35174,357,3077,18,0,648,68963,82828
1774212896243,575,51,771,35704,357,3096,18,0,564,68538,82828
1774212901242,580,51,781,36287,357,3129,18,0,470,68538,82828
1774212906244,585,51,789,36711,361,3144,18,0,448,68521,82828
1774212911245,590,51,805,37453,364,3188,18,0,427,68521,82828
1774212916247,595,51,807,37665,364,3208,18,0,419,67040,82828
1774212921248,600,51,816,38089,364,3230,18,0,408,67040,82828
1774212926247,605,51,826,38672,364,3252,18,0,397,67040,82828
1774212931247,610,51,836,39202,367,3275,18,0,392,66555,82726
1774212936250,615,51,841,39467,367,3299,18,0,364,66555,82726
1774212941252,620,51,843,39573,367,3311,18,0,358,66555,82726
1774212946253,625,51,849,39891,367,3336,18,0,352,66199,82726
1774212951254,630,51,857,40315,367,3364,18,0,344,66199,82726
1774212956256,635,50,868,40895,367,3378,19,0,343,65221,82726
1774212961257,640,51,876,41322,367,3403,19,0,340,65221,82726
1774212966258,645,51,884,41746,369,3424,19,0,331,65221,82726
1774212971259,650,51,894,42170,369,3439,19,0,329,64975,82726
1774212976258,655,51,906,42859,370,3464,19,0,322,64975,82726
1774212981259,660,51,908,43018,370,3472,19,0,322,64491,82726
1774212986260,665,51,920,43654,370,3484,19,0,315,64491,82726
1774212991262,670,51,931,44236,370,3495,19,0,308,64380,82627
1774212996264,675,51,943,44873,375,3512,19,0,308,64380,82627
1774213001265,680,51,951,45297,375,3520,19,0,303,64216,82627
1774213006266,685,51,961,45773,375,3532,19,0,298,64216,82627
1774213011266,690,51,969,46251,375,3550,19,0,290,64095,82627
1774213016266,695,51,980,46834,377,3564,19,0,290,64095,82627
1774213021266,700,51,988,47222,377,3581,19,0,283,64008,82627
1774213026268,705,51,1000,47894,383,3603,19,0,276,64008,82627
1774213031269,710,51,1014,48636,390,3620,19,0,276,63689,82627
1774213036269,715,51,1024,49113,391,3623,19,0,275,63689,82627
1774213041269,720,50,1036,49797,392,3633,20,0,270,63676,82381
1774213046271,725,51,1045,50279,392,3641,20,0,269,63676,82381
1774213051276,730,50,1055,50803,392,3649,21,0,264,63369,82381
1774213056276,735,51,1066,51392,392,3657,21,0,261,63369,82381
1774213061278,740,51,1077,51975,393,3663,21,0,255,63143,82381
1774213066279,745,51,1089,52611,401,3664,21,0,252,62789,82381
1774213071279,750,51,1101,53247,410,3667,21,0,250,62789,82381
1774213076281,755,51,1109,53671,415,3671,21,0,250,62311,82381
1774213081282,760,51,1116,54042,415,3676,21,0,249,62311,82381
1774213086282,765,51,1132,54837,415,3678,21,0,250,62255,82275
1774213091282,770,51,1141,55367,425,3678,21,0,249,62255,82275
1774213096282,775,51,1152,55950,428,3679,21,0,247,60883,82275
1774213101284,780,51,1163,56533,429,3679,21,0,243,60883,82275
1774213106284,785,51,1174,57069,430,3679,21,0,242,60202,82275
1774213111285,790,51,1186,57646,432,3679,21,0,241,60202,82275
1774213116285,795,51,1197,58335,439,3679,21,0,242,56129,82275
1774213121286,800,51,1208,58918,440,3679,23,2,240,56010,82275
1774213126288,805,51,1219,59501,443,3679,23,2,238,56010,82275
1774213131288,810,51,1233,60243,447,3679,23,2,236,55781,81921
1774213136289,815,51,1241,60667,448,3679,23,2,236,55781,81921
1774213141290,820,51,1252,61247,448,3679,25,4,234,55706,81921
1774213146289,825,50,1265,61934,453,3679,26,5,234,55706,81921
1774213151291,830,50,1274,62414,456,3679,27,6,234,55137,81921
1774213156291,835,49,1286,63047,458,3679,29,8,231,55137,81921
1774213161291,840,51,1298,63688,463,3679,29,8,230,54720,81921
1774213166291,845,49,1312,64309,473,3679,32,11,229,54464,81921
1774213171290,850,50,1322,64899,475,3679,33,13,229,54464,81921
1774213176292,855,49,1332,65482,475,3679,36,15,228,54319,81698
1774213181293,860,50,1342,66019,477,3679,37,16,227,54319,81698
1774213186293,865,50,1354,66655,479,3679,38,17,227,54271,81698
1774213191294,870,50,1366,67288,481,3679,39,18,225,54271,81698
1774213196318,875,49,1379,67961,484,3679,42,21,228,54169,81698
1774213201317,880,50,1391,68562,489,3679,44,23,228,53653,81698
1774213206320,885,49,1403,69192,499,3679,46,25,227,53653,81698
1774213211320,890,50,1411,69624,499,3679,48,27,225,53608,81698
1774213216321,895,50,1423,70309,501,3679,49,28,224,53608,81698
1774213221322,900,50,1436,70999,509,3679,50,29,223,53320,80962
1774213226323,905,49,1447,71578,513,3679,52,31,220,53234,80962
1774213231325,910,50,1458,72161,514,3679,53,32,220,53234,80962
1774213236325,915,50,1471,72847,516,3679,54,33,219,52737,80962
1774213241326,920,51,1485,73595,521,3679,54,33,217,52737,80962
1774213246328,925,50,1496,74175,524,3679,55,34,215,52695,80962
1774213251328,930,51,1506,74706,528,3679,56,35,214,52695,80962
1774213256329,935,51,1517,75289,528,3679,56,35,214,52542,80962
1774213261330,940,51,1529,75872,532,3679,56,35,213,52470,80947
1774213266330,945,51,1541,76561,533,3679,56,35,213,52470,80947
1774213271330,950,50,1555,77298,537,3679,58,37,213,52433,80947
1774213276332,955,51,1569,78045,552,3679,58,37,213,52294,80947
1774213281332,960,50,1579,78569,553,3679,59,38,210,52294,80947
1774213286333,965,51,1594,79370,566,3679,59,38,211,52233,80947
1774213291335,970,51,1604,79900,569,3679,59,38,210,52233,80947
1774213296336,975,51,1619,80695,570,3679,59,38,210,52174,80947
1774213301337,980,51,1631,81331,574,3679,59,38,211,52168,80821
1774213306337,985,51,1645,82072,579,3679,59,38,211,52168,80821
1774213311336,990,51,1656,82656,584,3679,59,38,209,52038,80821
1774213316336,995,49,1667,83235,589,3679,61,40,208,52035,80821
1774213321338,1000,51,1681,83968,594,3679,62,41,208,52035,80821
1774213326339,1005,51,1691,84445,601,3679,62,41,207,51860,80821
1774213331341,1010,51,1706,85293,603,3679,62,41,208,51860,80821
1774213336340,1015,51,1718,85876,614,3679,62,41,207,51816,80821
1774213341340,1020,51,1730,86512,621,3679,62,41,207,51586,79658
1774213346341,1025,51,1744,87254,624,3679,62,41,208,51586,79658
1774213351341,1030,51,1755,87890,626,3679,62,41,208,51535,79658
1774213356342,1035,51,1764,88367,627,3679,62,41,207,51535,79658
1774213361340,1040,51,1780,89215,633,3679,62,41,208,51343,79658
1774213366338,1045,51,1792,89851,642,3679,62,41,207,51174,79658
1774213371338,1050,51,1805,90540,654,3679,62,41,206,51174,79658
1774213376337,1055,51,1816,91123,661,3679,62,41,206,50941,79658
1774213381338,1060,51,1831,91918,662,3679,62,41,205,50907,79090
1774213386338,1065,50,1843,92500,664,3679,64,43,203,50907,79090
1774213391339,1070,51,1852,92970,668,3679,64,43,203,50883,79090
1774213396339,1075,51,1866,93765,670,3679,64,43,202,50883,79090
1774213401338,1080,49,1878,94344,675,3679,66,45,202,50587,79090
1774213406338,1085,51,1886,94826,677,3679,66,45,201,50587,79090
1774213411338,1090,50,1905,95558,680,3679,67,46,202,50345,79090
1774213416339,1095,51,1914,96310,692,3679,67,46,203,50262,79090
1774213421340,1100,51,1925,96893,700,3679,67,46,202,50262,79090
1774213426341,1105,50,1938,97581,700,3679,68,47,202,50124,78163
1774213431342,1110,51,1952,98324,716,3679,68,47,203,50032,78163
1774213436341,1115,50,1963,98902,723,3679,69,48,202,50032,78163
1774213441341,1120,50,1978,99648,727,3679,70,49,201,49673,78163
1774213446341,1125,51,1993,100497,729,3679,70,49,202,49507,78163
1774213451352,1130,51,2002,100974,730,3679,70,49,202,49507,78163
1774213456354,1135,50,2019,101819,732,3679,71,50,202,49409,78163
1774213461355,1140,51,2026,102246,736,3679,71,50,202,49409,78163
1774213466357,1145,51,2038,102882,738,3679,72,51,201,49341,78103
1774213471357,1150,51,2056,103783,748,3679,72,52,202,49194,78103
1774213476356,1155,51,2066,104313,751,3679,73,52,201,49194,78103
1774213481357,1160,51,2076,104896,752,3679,74,53,201,48772,78103
1774213486360,1165,51,2090,105638,762,3679,74,53,201,48721,78103
1774213491359,1170,51,2104,106380,770,3679,74,53,201,48721,78103
1774213496359,1175,51,2118,107069,783,3679,74,53,201,48705,78103
1774213501362,1180,51,2128,107652,788,3679,74,53,201,48703,77523
1774213506362,1185,51,2141,108341,792,3679,74,53,201,48703,77523
1774213511362,1190,51,2154,109030,796,3679,74,53,201,48647,77523
1774213516361,1195,51,2166,109613,801,3679,74,53,201,48647,77523
1774213521364,1200,50,2178,110299,806,3679,75,53,199,48331,77523
1774213526364,1205,51,2190,110938,810,3679,75,53,198,48330,77523
1774213531365,1210,51,2205,111733,820,3679,75,53,198,48330,77523
1774213536364,1215,51,2214,112210,823,3679,75,53,197,48329,77523
1774213541364,1220,51,2225,112793,827,3679,75,53,196,48329,77523
1774213546365,1225,51,2237,113429,828,3679,75,53,195,48300,77401
1774213551366,1230,51,2247,113959,828,3679,75,53,195,48223,77401
1774213556367,1235,51,2260,114648,832,3679,75,53,195,48223,77401
1774213561368,1240,51,2269,115125,832,3679,75,53,194,48181,77401
1774213566369,1245,51,2283,115867,832,3679,75,53,194,48181,77401
1774213571371,1250,51,2297,116609,840,3679,75,53,195,48113,77401
1774213576370,1255,51,2309,117228,844,3679,75,53,194,48060,77401
1774213581371,1260,51,2320,117828,847,3679,75,53,195,48060,77401
1774213586371,1265,51,2335,118623,855,3679,75,53,194,47977,77297
1774213591371,1270,51,2344,119100,856,3679,75,53,194,47977,77297
1774213596373,1275,51,2357,119736,856,3679,75,53,193,47962,77297
1774213601375,1280,51,2369,120425,859,3679,75,53,193,47814,77297
1774213606378,1285,51,2380,121008,863,3679,75,53,192,47814,77297
1774213611379,1290,51,2391,121591,867,3679,75,53,190,47741,77297
1774213616381,1295,51,2402,122174,871,3679,75,53,189,47741,77297
1774213621381,1300,51,2414,122809,873,3679,75,53,189,47611,77297
1774213626381,1305,51,2427,123441,873,3679,75,53,189,47611,77297
1774213631381,1310,51,2437,124025,875,3679,75,53,190,47530,76786
1774213636382,1315,51,2449,124612,875,3679,75,53,190,47516,76786
1774213641384,1320,51,2459,125195,878,3679,75,53,191,47516,76786
1774213646384,1325,51,2470,125725,880,3679,75,53,191,47367,76786
1774213651387,1330,51,2485,126520,884,3679,75,53,193,47367,76786
